model,policy,share_treated,total_cost($),share_severe,rescue_rate (of would-be-severe),cost_per_rescue($),mean_nw_gain_per_$_spent
A,universal (month 1),1.0,4500000.0,0.259,0.25812619502868067,16666.666666666668,2.3793697933587117
A,means-tested ex ante (balance < median),0.5,2250000.0,0.2956666666666667,0.15296367112810708,14062.5,2.726623654967726
A,state-triggered (balance < $250),0.506,2277000.0,0.24433333333333335,0.29923518164435947,7274.760383386581,3.757058094793285
B,universal (month 1),1.0,4500000.0,0.25066666666666665,0.2608267716535433,16981.132075471698,2.320833012251837
B,means-tested ex ante (balance < median),0.5,2250000.0,0.286,0.15649606299212598,14150.943396226416,2.654319707972884
B,state-triggered (balance < $250),0.5063333333333333,2278500.0,0.23466666666666666,0.30708661417322836,7302.884615384615,3.7190871732218125
