scenario,model,share severe payday debt,share ever payday loan,share ever refinanced,mean months in arrears,mean cost of inattention ($),mean choice-set contraction,median final net worth ($),mean final net worth ($)
no shock,A: attention on,0.0,0.0,0.44233333333333336,0.0,404.186865020875,0.017388888888888888,26307.925034399188,32255.888993966084
no shock,B: attention off,0.0,0.0,0.6213333333333333,0.0,0.0,0.0,26307.925034399188,32449.755150813664
shock,A: attention on,0.3486666666666667,0.473,0.41833333333333333,8.72,396.0452302453012,0.12274603174603174,17142.657066183954,17767.74949181443
shock,B: attention off,0.33866666666666667,0.446,0.588,7.719666666666667,0.0,0.0,17440.727284932127,18539.330658690797
