model,share_receiving_aid,mean_delay_months_after_onset,mean_gain_nw_all,mean_gain_nw_if_treated,share_severe,early_calendar_share_severe,no_aid_share_severe
A,0.506,2.924901185770751,2851.6070939481033,5635.587142189928,0.24433333333333335,0.2776666666666667,0.3486666666666667
B,0.5063333333333333,2.9117840684660963,2824.6467080619664,5578.6307598327185,0.23466666666666666,0.271,0.33866666666666667
