shock_size,alpha_mult,gap_A,se_A,gap_B,se_B,attention_added(A-B),se_added
0.2,0.5,31.922200003631573,53.152670982995495,35.22868954065992,51.81704921724516,-3.306489537028352,11.887203788965776
0.2,1.0,148.79864252373665,49.69067660334723,35.22868954065992,51.81704921724516,113.5699529830767,42.51822234798255
0.2,1.5,219.94836525293925,48.32932290326991,35.22868954065992,51.81704921724516,184.7196757122793,45.382939969253805
0.2,2.0,246.81079258801125,47.106870005438196,35.22868954065992,51.81704921724516,211.5821030473513,47.03364635184303
0.3,0.5,644.4391546507596,66.52461803324775,612.925890264088,67.15455954145982,31.513264386671704,13.824258603107547
0.3,1.0,732.9451304756717,70.7371888684015,612.925890264088,67.15455954145982,120.01924021158382,34.79637772101007
0.3,1.5,725.570869699532,68.62424037670226,612.925890264088,67.15455954145982,112.64497943544389,37.719846936991495
0.3,2.0,742.2722999528372,68.6368439303264,612.925890264088,67.15455954145982,129.3464096887492,37.484892543937384
0.4,0.5,877.3831194604863,75.85067582862693,835.7958370283351,76.79450776800002,41.58728243215133,17.66888985489403
0.4,1.0,1051.7415481092003,87.09224874352742,835.7958370283351,76.79450776800002,215.94571108086518,37.889860743102105
0.4,1.5,1063.5530257172761,83.82660630030763,835.7958370283351,76.79450776800002,227.757188688941,39.548310657118485
0.4,2.0,1096.1995308579803,84.8147070786596,835.7958370283351,76.79450776800002,260.40369382964514,40.03959640306723
